"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"1";"";"DIP16_SMD.1";"SO16";"IC3";"Generic 16-pin DIP";"";"";"";"";"";"";"";"";
"1";"";"DPDT.LUGS";"DPDT.LUGS";"SW_1";"DPDT Switches";"";"";"";"";"";"";"";"";
"1";"";"TRIMMER";"TRIM1";"PRE";"Trimpots";"";"";"";"";"";"";"";"";
"3";"100k";"R-US_R0805";"R0805";"R2, R4, R23";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"7";"100n";"C-EUC0805";"C0805";"C1, C7, C8, C9, C10, C11, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"1";"100p";"C-EUC0805";"C0805";"C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"2";"100u";"CPOL-USE2.5-6";"E2,5-6";"C26, C28";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"10";"10k";"R-US_R0805";"R0805";"R9, R10, R11, R12, R13, R14, R25, R26, R27, R32";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"1";"10u";"C-EUC0805";"C0805";"C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"4";"10u";"CPOL-USE2.5-6";"E2,5-6";"C29, C30, C31, C32";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"1";"120k";"R-US_R0805";"R0805";"R36";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"2";"15k";"R-US_R0805";"R0805";"R28, R35";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"1";"18k";"R-US_R0805";"R0805";"R19";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"2";"1M";"R-US_R0805";"R0805";"R1, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"3";"1k";"R-US_R0805";"R0805";"R15, R22, R37";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"2";"1n";"C-EUC0805";"C0805";"C14, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"7";"1u";"C-EUC0805";"C0805";"C13, C20, C23, C25, C33, C34, C35";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"1";"220k";"R-US_R0805";"R0805";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"2";"220n";"C-EUC0805";"C0805";"C18, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"1";"220p";"C-EUC0805";"C0805";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"3";"22k";"R-US_R0805";"R0805";"R7, R20, R21";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"1";"22n";"C-EUC0805";"C0805";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"2";"2M2";"R-US_R0805";"R0805";"R33, R34";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"2";"2k2";"R-US_R0805";"R0805";"R17, R18";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"1";"470k";"R-US_R0805";"R0805";"R30";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"3";"470n";"C-EUC0805";"C0805";"C19, C36, C37";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"1";"47p";"C-EUC0805";"C0805";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"2";"47u";"CPOL-USE2.5-6";"E2,5-6";"C2, C27";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"3";"4k7";"R-US_R0805";"R0805";"R6, R8, R29";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"2";"4n7";"C-EUC0805";"C0805";"C15, C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"3";"4u7";"C-EUC0805";"C0805";"C38, C39, C40";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"1";"5k6";"R-US_R0805";"R0805";"R16";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"1";"B100k";"16MM.1";"16MM_B.MOUNT";"MIX";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"1";"B500k";"DUALGANG.2";"16MM_DUALGANG";"MOD";"Dual-Gan Potentiometers";"";"";"";"";"";"";"";"";
"2";"B50k";"16MM.1";"16MM_B.MOUNT";"FB, TIME";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"5";"B5817WS-TP";"B5817WS-TP";"SOD2512X115N";"D1, D3, D4, D5, D6";"Schottky Diodes & Rectifiers 20V,1A";"Schottky Diodes & Rectifiers 20V,1A";"1.15mm";"Micro Commercial Components (MCC)";"B5817WS-TP";"833-B5817WS-TP";"https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/B5817WS-TP?qs=SdqRYZZ9IxCAZAlW9BKhPg%3D%3D";"";"";
"1";"LED.3";"LED.3";"3MM_2";"D2";"LEDs, all sizes";"";"";"";"";"";"";"";"";
"1";"LM78L.";"LM78L.";"TO92";"REG1";"TO-92 Type, 100mA";"";"";"";"";"";"";"";"";
"10";"LSP10";"LSP10";"LSP10";"+9V, GND, GND_IN, GND_OUT, IN, LED, OUT, OUT1, OUT2, SW";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"1";"MMBF5457";"MMBF5457";"SOT96P237X111-3N";"Q2";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"1.11mm";"onsemi";"MMBF5457";"512-MMBF5457";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MMBF5457?qs=ljbEvF4DwONFsVNWUpfPPg%3D%3D";"";"";
"2";"MMBT5088LT1G";"MMBT5088LT1G";"SOT95P237X111-3N";"T1, T2";"ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23";"ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23";"1.11mm";"ON Semiconductor";"MMBT5088LT1G";"863-MMBT5088LT1G";"https://www.mouser.co.uk/ProductDetail/onsemi/MMBT5088LT1G?qs=HVbQlW5zcXW4Her9wnPvIg%3D%3D";"";"";
"1";"RLED";"R-US_R0805";"R0805";"R24";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"1";"TC1044SEOA";"TC1044SEOA";"SOIC127P600X175-8N";"IC2";"Microchip TC1044SEOA, Charge Pump Inverting 20mA 45 kHz, -1.5  -12 V 8-Pin, SOIC";"Microchip TC1044SEOA, Charge Pump Inverting 20mA 45 kHz, -1.5  -12 V 8-Pin, SOIC";"1.75mm";"Microchip";"TC1044SEOA";"579-TC1044SEOA";"https://www.mouser.com/Search/Refine.aspx?Keyword=579-TC1044SEOA";"";"";
"1";"TL072D";"TL072D";"SO08";"IC1";"OP AMP";"";"";"";"";"";"";"0";"";
