"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"SPICEPREFIX";"SUPPLIER";
"+9V";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"C1";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C2";"47u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C3";"47p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C4";"220p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C5";"22n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C6";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C7";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C8";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C9";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C10";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C11";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C12";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C13";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C14";"1n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C15";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C16";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C17";"1n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C18";"220n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C19";"470n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C20";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C22";"220n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C23";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C24";"100p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C25";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C26";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C27";"47u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C28";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C29";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C30";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C31";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C32";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C33";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C34";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C35";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C36";"470n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C37";"470n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C38";"4u7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C39";"4u7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C40";"4u7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"D1";"1N5817";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"1N5817";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D4";"1N5817";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D5";"1N5817";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D6";"1N5817";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FB";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";"";"";"";"";"";
"GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"GND_IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"GND_OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"IC1";"TL072P";"TL072P";"DIL08";"OP AMP";"";"";"";"";"";"";"";"";"";"";"13";"";"";
"IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"LED";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"MIX";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MOD";"B500k";"DUALGANG.2";"16MM_DUALGANG";"Dual-Gan Potentiometers";"";"";"";"";"";"";"";"";"";"";"";"";"";
"OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"PRE";"100k";"TRIMMER";"TRIM1";"Trimpots";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"2N5457";"2N5457";"TO92";"2n5457, J201, MPF102";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q2";"MMBF5457";"MMBF5457";"SOT96P237X111-3N";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"1.11mm";"onsemi";"MMBF5457";"512-MMBF5457";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MMBF5457?qs=ljbEvF4DwONFsVNWUpfPPg%3D%3D";"";"";"";"";"";"";"";
"R1";"1M";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R2";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R3";"220k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R4";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R5";"1M";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R6";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R7";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R8";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R9";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R10";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R11";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R12";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R13";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R14";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R15";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R16";"5k6";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R17";"15k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R18";"2k2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R19";"18k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R20";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R21";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R22";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R23";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R24";"RLED";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R25";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R26";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R27";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R28";"15k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R29";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R30";"470k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R32";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R33";"2M2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R34";"2M2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R35";"15k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R36";"120k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"R37";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"REG1";"LM78L.";"LM78L.";"TO92";"TO-92 Type, 100mA";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"SW_1";"";"DPDT.LUGS";"DPDT.LUGS";"DPDT Switches";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TIME";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"BC549";"BC549";"TO92";"NPN - BC549x, BC550x";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"BC549";"BC549";"TO92";"NPN - BC549x, BC550x";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"PT2399";"PT2399";"DIL16";"Echo Processor IC";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"TC1044SCPA";"TC1044SCPA";"DIP254P762X508-8";"IC CHRG PUMP INV ADJ 20MA";"";"";"";"";"";"";"TC1044SCPA";"1196840";"92C5563";"8 - DIP";"";"";"Microchip";
"WET_KILL_A";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"WET_KILL_B";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";
